Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Label
0.0011196987,0.0042970073,-12.567342,102.543976,0.043295965,2.075893,0.26459283,0.36189875,103.359375,2
-0.03286112,0.021149578,-12.161125,105.47885,0.058631036,1.5539222,0.2643969,0.360027,151.99908,2
0.026418569,0.053447824,-9.508975,95.962135,0.098590314,4.2200823,0.27695593,0.36384296,126.04802,2
-0.011991923,0.0065342253,-12.062565,104.84952,0.019376379,1.1223956,0.26213008,0.3661867,126.04802,2
0.013757507,0.032295678,-11.177776,106.31493,0.021626996,0.67077714,0.26074135,0.36372936,126.04802,2
-0.0117935585,0.023733556,-12.59736,103.06749,0.06307849,2.4871883,0.27263185,0.3689814,147.65625,2
0.0018258675,0.015864398,-13.058576,110.00129,0.024866823,0.9797763,0.2992347,0.3845594,123.046875,2
0.0033025714,0.02056905,-11.3035345,105.67157,0.017404467,0.46625602,0.25438818,0.35633492,103.359375,2
-0.018410446,0.012634691,-12.933188,107.96826,0.041652665,1.691492,0.29975724,0.38616243,143.55469,2
-0.006364745,0.019993205,-13.226076,106.008736,0.031592812,1.6224892,0.26745206,0.36352354,156.60512,2
-0.0110840965,0.017928382,-13.608225,115.15095,0.011153076,0.41618264,0.30378708,0.38501918,126.04802,2
0.022087727,0.044155724,-11.127954,105.03096,0.029861074,1.0207623,0.27709123,0.36666426,105.46875,2
-0.009886776,0.0073013674,-11.718505,102.10005,0.051171783,2.0145922,0.2575297,0.3558914,126.04802,2
-0.0026339288,0.003923905,-12.025866,105.5936,0.05493376,1.4888495,0.26658344,0.36446372,151.99908,2
0.001152387,0.003313335,-12.895435,104.11046,0.03959782,1.8472667,0.2667078,0.36257753,114.84375,2
-0.02125568,0.0060672415,-11.653952,102.738525,0.032506157,1.6372566,0.2890234,0.38040164,151.99908,2
0.00014403272,0.0059034447,-10.080295,94.99621,0.11956499,6.850998,0.277044,0.3619162,132.51202,2
0.012090424,0.01301454,-10.303867,93.042175,0.19105445,10.37967,0.27242655,0.3602548,143.55469,2
0.023357108,0.030863862,-11.165582,100.74396,0.12732255,3.737909,0.28130555,0.3758258,156.60512,2
0.1059454,0.07886088,-11.887969,100.481094,0.058687996,3.1572535,0.3004336,0.38434055,151.99908,2
0.009730449,0.010883657,-12.796192,107.30628,0.052089397,1.5332359,0.28543684,0.37422225,156.60512,2
0.01322513,0.024578542,-10.176616,99.92474,0.036280073,1.5874363,0.2748184,0.36238497,135.99918,2
0.0017682667,0.08491366,-12.650062,102.81253,0.06845047,3.0949035,0.2703275,0.36304542,139.67484,2
0.0026837082,0.009550791,-12.352655,110.36919,0.01609659,0.5966867,0.28909525,0.37305853,132.51202,2
0.02699742,0.03758931,-11.03153,101.44227,0.04440671,2.0673327,0.29058322,0.37550697,151.99908,2
-0.0024895004,0.005890952,-12.621707,107.55811,0.05488776,1.4676433,0.25757846,0.3585301,151.99908,2
0.0045027696,0.04777177,-13.456652,108.59541,0.067842074,1.9656769,0.27947035,0.3711557,161.49902,2
-0.023933796,0.030317457,-12.416637,107.98566,0.03459578,1.1715013,0.27482373,0.36702633,126.04802,2
0.011608202,0.027425785,-11.581094,95.301094,0.06818939,5.4994683,0.27881962,0.3735525,126.04802,2
0.04734406,0.02611899,-12.847532,101.70316,0.03297004,2.5069153,0.27590656,0.36689618,126.04802,2
0.0005334458,0.0038934606,-11.99543,98.529106,0.12683967,5.0496297,0.27869797,0.37402713,215.33203,2
-0.009282396,0.0108848,-12.722681,99.85457,0.039828185,3.4552546,0.28292754,0.3715678,156.60512,2
0.029827198,0.04632891,-11.431335,107.13825,0.020917978,0.7252705,0.2881225,0.37187386,135.99918,2
0.0035967766,0.004633914,-12.856004,104.324196,0.032276597,1.9776084,0.27711168,0.3685637,123.046875,2
-0.017712008,0.028064292,-10.801271,105.34079,0.019865263,0.74927944,0.2822993,0.37312347,135.99918,2
0.029475663,0.06898915,-11.007171,103.59128,0.041431583,1.7958131,0.27960947,0.3712209,135.99918,2
-6.917565e-05,0.0061741397,-23.763733,135.2697,0.0036527219,0.06148172,0.056207698,0.19279984,166.70866,1
-2.0596367e-06,0.00014423032,-13.535362,107.10224,0.13268414,2.5810952,0.22843926,0.33378106,166.70866,1
0.0008707319,0.014233823,-17.069921,126.68615,0.0023723193,0.027594764,0.22905576,0.34850076,172.26562,1
-0.00011114038,0.00024562055,-22.428383,150.24586,0.00016176826,0.0024621522,0.18988907,0.32001346,147.65625,1
-4.583746e-06,0.004935315,-20.555906,118.2713,0.013566372,0.21064752,0.06369078,0.1967982,151.99908,1
-0.00089566875,0.002563544,-12.100972,79.92988,0.8446667,16.954758,0.19608602,0.3261349,103.359375,1
4.638999e-06,0.00010445832,-15.107841,123.07068,0.0076592867,0.24912818,0.28443372,0.37004623,161.49902,1
0.028423993,0.12549143,-17.207321,104.78589,0.15810926,3.5015557,0.037944116,0.16149512,161.49902,1
-4.4013217e-05,0.00037664204,-19.560162,125.85498,0.00051497004,0.008086352,0.15165581,0.27604222,129.19922,1
-0.025845481,0.19289264,-7.5626173,81.23769,0.6089672,10.227367,0.2202772,0.31966275,172.26562,1
